Loan_ID,Gender,Married,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001112,Female,Yes,0,3667,1459,144,360,1,Semiurban,Y
LP001114,Male,No,0,4166,7210,184,360,1,Urban,Y
LP001116,Male,No,0,3748,1668,110,360,1,Semiurban,Y
LP001119,Male,No,0,3600,0,80,360,1,Urban,N
LP001120,Male,No,0,1800,1213,47,360,1,Urban,Y
LP001123,Male,Yes,1,2400,0,75,360,,Urban,Y
LP001131,Male,Yes,0,3941,2336,134,360,1,Semiurban,Y
LP001136,Male,Yes,0,4695,0,96,,1,Urban,Y
LP001137,Female,No,0,3410,0,88,,1,Urban,Y
LP001138,Male,Yes,1,5649,0,44,360,1,Urban,Y
LP001144,Male,Yes,0,5821,0,144,360,1,Urban,Y
LP001146,Female,Yes,0,2645,3440,120,360,0,Urban,N
LP001151,Female,No,0,4000,2275,144,360,1,Semiurban,Y
LP001155,Female,Yes,0,1928,1644,100,360,1,Semiurban,Y
LP001157,Female,No,0,3086,0,120,360,1,Semiurban,Y
LP001164,Female,No,0,4230,0,112,360,1,Semiurban,N
LP001179,Male,Yes,2,4616,0,134,360,1,Urban,N
LP001186,Female,Yes,1,11500,0,286,360,0,Urban,N
LP001194,Male,Yes,2,2708,1167,97,360,1,Semiurban,Y
LP001195,Male,Yes,0,2132,1591,96,360,1,Semiurban,Y
LP001197,Male,Yes,0,3366,2200,135,360,1,Rural,N
LP001198,Male,Yes,1,8080,2250,180,360,1,Urban,Y
LP001199,Male,Yes,2,3357,2859,144,360,1,Urban,Y
LP001205,Male,Yes,0,2500,3796,120,360,1,Urban,Y
LP001206,Male,Yes,3,3029,0,99,360,1,Urban,Y
LP001207,Male,Yes,0,2609,3449,165,180,0,Rural,N
LP001213,Male,Yes,1,4945,0,,360,0,Rural,N
LP001222,Female,No,0,4166,0,116,360,0,Semiurban,N
LP001225,Male,Yes,0,5726,4595,258,360,1,Semiurban,N
LP001228,Male,No,0,3200,2254,126,180,0,Urban,N
LP001263,Male,Yes,4,3167,4000,180,300,0,Semiurban,N
LP001264,Male,Yes,4,3333,2166,130,360,,Semiurban,Y
LP001265,Female,No,0,3846,0,111,360,1,Semiurban,Y
LP001266,Male,Yes,1,2395,0,,360,1,Semiurban,Y
LP001267,Female,Yes,2,1378,1881,167,360,1,Urban,N
LP001273,Male,Yes,0,6000,2250,265,360,,Semiurban,N
LP001275,Male,Yes,1,3988,0,50,240,1,Urban,Y
LP001279,Male,No,0,2366,2531,136,360,1,Semiurban,Y
LP001280,Male,Yes,2,3333,2000,99,360,,Semiurban,Y
LP001282,Male,Yes,0,2500,2118,104,360,1,Semiurban,Y
LP001289,Male,No,0,8566,0,210,360,1,Urban,Y
LP001310,Male,Yes,0,5695,4167,175,360,1,Semiurban,Y
LP001316,Male,Yes,0,2958,2900,131,360,1,Semiurban,Y
LP001318,Male,Yes,2,6250,5654,188,180,1,Semiurban,Y
LP001319,Male,Yes,2,3273,1820,81,360,1,Urban,Y
LP001322,Male,No,0,4133,0,122,360,1,Semiurban,Y
LP001325,Male,No,0,3620,0,25,120,1,Semiurban,Y
LP001326,Male,No,0,6782,0,,360,,Urban,N
LP001327,Female,Yes,0,2484,2302,137,360,1,Semiurban,Y
LP001333,Male,Yes,2,1977,997,50,360,1,Semiurban,Y
LP001334,Male,Yes,0,4188,0,115,180,1,Semiurban,Y
LP001343,Male,Yes,0,1759,3541,131,360,1,Semiurban,Y
LP001345,Male,Yes,2,4288,3263,133,180,1,Urban,Y
LP001349,Male,No,0,4843,3806,151,360,1,Semiurban,Y
LP001350,Male,Yes,,13650,0,,360,1,Urban,Y
LP001356,Male,Yes,0,4652,3583,,360,1,Semiurban,Y
LP001357,Male,,,3816,754,160,360,1,Urban,Y
LP001367,Male,Yes,1,3052,1030,100,360,1,Urban,Y
LP001369,Male,Yes,2,11417,1126,225,360,1,Urban,Y
LP001370,Male,No,0,7333,0,120,360,1,Rural,N
LP001379,Male,Yes,2,3800,3600,216,360,0,Urban,N
LP001384,Male,Yes,3,2071,754,94,480,1,Semiurban,Y
LP001385,Male,No,0,5316,0,136,360,1,Urban,Y
LP001387,Female,Yes,0,2929,2333,139,360,1,Semiurban,Y
LP001391,Male,Yes,0,3572,4114,152,,0,Rural,N
LP001392,Female,Yes,1,7451,0,,360,1,Semiurban,Y
LP001398,Male,No,0,5050,0,118,360,1,Semiurban,Y
LP001401,Male,Yes,1,14583,0,185,180,1,Rural,N
LP001404,Female,Yes,0,3167,2283,154,360,1,Semiurban,Y
LP001405,Male,Yes,1,2214,1398,85,360,,Urban,Y
LP001421,Male,Yes,0,5568,2142,175,360,1,Rural,N
LP001422,Female,No,0,10408,0,259,360,1,Urban,Y
LP001426,Male,Yes,,5667,2667,180,360,1,Rural,Y
LP001449,Male,No,0,3865,1640,,360,1,Rural,Y
LP001451,Male,Yes,1,10513,3850,160,180,0,Urban,N
LP001465,Male,Yes,0,6080,2569,182,360,,Rural,N
LP001469,Male,No,0,20166,0,650,480,,Urban,Y
LP001532,Male,Yes,2,2281,0,113,360,1,Rural,N
LP001535,Male,No,0,3254,0,50,360,1,Urban,Y
LP001536,Male,Yes,4,39999,0,600,180,0,Semiurban,Y
LP001541,Male,Yes,1,6000,0,160,360,,Rural,Y
LP001543,Male,Yes,1,9538,0,187,360,1,Urban,N
LP001546,Male,No,0,2980,2083,120,360,1,Rural,Y
LP001552,Male,Yes,0,4583,5625,255,360,1,Semiurban,Y
LP001560,Male,Yes,0,1863,1041,98,360,1,Semiurban,Y
LP001562,Male,Yes,0,7933,0,275,360,1,Urban,N
LP001565,Male,Yes,1,3089,1280,121,360,0,Semiurban,N
LP001570,Male,Yes,2,4167,1447,158,360,1,Rural,Y
LP001572,Male,Yes,0,9323,0,75,180,1,Urban,Y
LP001574,Male,Yes,0,3707,3166,182,,1,Rural,Y
LP001577,Female,Yes,0,4583,0,112,360,1,Rural,N
LP001578,Male,Yes,0,2439,3333,129,360,1,Rural,Y
LP001579,Male,No,0,2237,0,63,480,0,Semiurban,N
LP001580,Male,Yes,2,8000,0,200,360,1,Semiurban,Y
LP001581,Male,Yes,0,1820,1769,95,360,1,Rural,Y
LP001585,,Yes,4,51763,0,700,300,1,Urban,Y
LP001586,Male,Yes,4,3522,0,81,180,1,Rural,N
LP001594,Male,Yes,0,5708,5625,187,360,1,Semiurban,Y
LP001603,Male,Yes,0,4344,736,87,360,1,Semiurban,N
LP001606,Male,Yes,0,3497,1964,116,360,1,Rural,Y
LP001608,Male,Yes,2,2045,1619,101,360,1,Rural,Y
LP001610,Male,Yes,3,5516,11300,495,360,0,Semiurban,N
LP001616,Male,Yes,1,3750,0,116,360,1,Semiurban,Y
LP001630,Male,No,0,2333,1451,102,480,0,Urban,N
LP001633,Male,Yes,1,6400,7250,180,360,0,Urban,N
LP001634,Male,No,0,1916,5063,67,360,,Rural,N
LP001636,Male,Yes,0,4600,0,73,180,1,Semiurban,Y
LP001637,Male,Yes,1,33846,0,260,360,1,Semiurban,N
LP001639,Female,Yes,0,3625,0,108,360,1,Semiurban,Y
LP001640,Male,Yes,0,39147,4750,120,360,1,Semiurban,Y
LP001641,Male,Yes,1,2178,0,66,300,0,Rural,N
LP001643,Male,Yes,0,2383,2138,58,360,,Rural,Y
LP001669,Female,No,0,1907,2365,120,,1,Urban,Y
LP001671,Female,Yes,0,3416,2816,113,360,,Semiurban,Y
LP001673,Male,No,0,11000,0,83,360,1,Urban,N
LP001674,Male,Yes,1,2600,2500,90,360,1,Semiurban,Y
LP001677,Male,Yes,2,4923,0,16600,360,0,Semiurban,Y
LP001682,Male,Yes,4,3992,0,,180,1,Urban,N
LP001688,Male,Yes,1,3500,1083,135,360,1,Urban,Y
LP001691,Male,Yes,2,3917,0,124,360,1,Semiurban,Y
LP001692,Female,No,0,4408,0,120,360,1,Semiurban,Y
LP001734,Female,Yes,2,4283,2383,127,360,,Semiurban,Y
LP001736,Male,Yes,0,2221,0,60,360,0,Urban,N
LP001743,Male,Yes,2,4009,1717,116,360,1,Semiurban,Y
LP001744,Male,No,0,2971,2791,144,360,1,Semiurban,Y
LP001749,Male,Yes,0,7578,1010,175,,1,Semiurban,Y
LP001750,Male,Yes,0,6250,0,128,360,1,Semiurban,Y
LP001751,Male,Yes,0,3250,0,170,360,1,Rural,N
LP001754,Male,Yes,,4735,0,138,360,1,Urban,N
LP001758,Male,Yes,2,6250,1695,210,360,1,Semiurban,Y
LP001760,Male,,,4758,0,158,480,1,Semiurban,Y
LP001761,Male,No,0,6400,0,200,360,1,Rural,Y
LP001765,Male,Yes,1,2491,2054,104,360,1,Semiurban,N
LP001768,Male,Yes,0,3716,0,42,180,1,Rural,Y
LP001770,Male,No,0,3189,2598,120,,1,Rural,Y
LP001776,Female,No,0,8333,0,280,360,1,Semiurban,N
LP001778,Male,Yes,1,3155,1779,140,360,1,Semiurban,Y
LP001784,Male,Yes,1,5500,1260,170,360,1,Rural,Y
LP001786,Male,Yes,0,5746,0,255,360,,Urban,N
LP001788,Female,No,0,3463,0,122,360,,Urban,Y
LP001843,Male,Yes,1,2661,7101,279,180,1,Semiurban,Y
LP001844,Male,No,0,16250,0,192,360,0,Urban,N
LP001846,Female,No,0,3083,0,255,360,1,Rural,Y
LP001849,Male,No,0,6045,0,115,360,0,Rural,N
LP001854,Male,Yes,2,5250,0,94,360,1,Urban,N
LP001859,Male,Yes,0,14683,2100,304,360,1,Rural,Y
LP001864,Male,Yes,2,4931,0,128,360,,Semiurban,N
LP001865,Male,Yes,1,6083,4250,330,360,,Urban,Y
LP001868,Male,No,0,2060,2209,134,360,1,Semiurban,Y
LP001870,Female,Yes,1,3481,0,155,36,1,Semiurban,N
LP001871,Female,No,0,7200,0,120,360,1,Rural,Y
LP001872,Male,No,0,5166,0,128,360,1,Semiurban,Y
LP001875,Male,No,0,4095,3447,151,360,1,Rural,Y
LP001877,Male,Yes,2,4708,1387,150,360,1,Semiurban,Y
LP001882,Male,Yes,2,4333,1811,160,360,0,Urban,Y
LP001883,Female,No,0,3418,0,135,360,1,Rural,N
LP001884,Female,Yes,1,2876,1560,90,360,1,Urban,Y
LP001888,Female,No,0,3237,0,30,360,1,Urban,Y
LP001891,Male,Yes,0,11146,0,136,360,1,Urban,N
LP001892,Male,No,0,2833,1857,126,360,1,Rural,Y
LP001894,Male,Yes,0,2620,2223,150,360,1,Semiurban,Y
LP001896,Male,Yes,2,3900,0,9000,360,1,Semiurban,N
